Year;Index;Type;Title_Aritcle;Authors;Afiliation ;Author_Umayor;Center_Author;DOI;Title_Journal;Q-factor;WOS_code;Scorpus_Code;;;;;;
2016;WOS;Article;Antibacterial activity of copper salts against microorganisms isolated from chronic infected wounds;"Febre, Naldy; Silva, Viviana; Baez, Andrea; Palza, Humberto; Delgado, Katherine; Aburto, Isabel; Silva, Victor";"[Febre, Naldy] Univ Mayor, Escuela Enfermeria, Fac Ciencias, FONDEF, Santiago, Chile; [Silva, Viviana] Univ Mayor, Escuela Tecnol Med, Fac Ciencias, Santiago, Chile; [Baez, Andrea] Univ Austral Chile, Valdivia, Chile; [Palza, Humberto; Delgado, Katherine] Univ Chile, Dept Ingn Quim & Biotecnol, Fac Ciencias Fis & Matemat, Santiago, Chile; [Aburto, Isabel] Fdn Inst Nacl Heridas, Santiago, Chile; [Silva, Victor] Univ Mayor, Escuela Tecnol Med, Fac Ciencias, FONDEF, Santiago, Chile; [Silva, Victor] Amer Soc Microbiol, Washington, DC USA";Ignacio Sepulveda; ESCUELA DE BIOTECNOLOGIA;10.1186/s13099-017-0214-9;GUT PATHOGENS;Q2;WOS:000415252100001;2-s2.0-85034055230;;;;;;
2016;WOS;Article;Rethinking teacher education from the chair of Pedagogy. An academic experience with physical education students;"Yanez Sepulveda, Rodrigo; Barraza Gomez, Fernando; Mahecha Matsudo, Sandra";"[Yanez Sepulveda, Rodrigo; Mahecha Matsudo, Sandra] Univ Mayor, Santiago, Chile; [Barraza Gomez, Fernando] Univ Vina del Mar, Vina Del Mar, Chile";Javiera Castillo; ESCUELA DE FONOAUDIOLOGIA;10.1177/0269215518774832;CLINICAL REHABILITATION;Q1;WOS:000445224700005;2-s2.0-85047400266;;;;;;
2016;WOS;Article;Khorama score as a predictive tool for thromboembolic events in high risk patients;"Kramer, Veronica; Klein, Macarena; Cevallos, Fernando; Carcamo, Marcela";"[Kramer, Veronica] Inst Nacl Canc, Ctr Responsabilidad Cuidados Paliat, Santiago, Chile; [Carcamo, Marcela] Inst Nacl Canc, Ctr Responsabilidad Invest, Santiago, Chile; [Klein, Macarena; Cevallos, Fernando] Univ Mayor, Escuela Med, Santiago, Chile";"Lopez-Leal, Rodrigo; Alvarez, Jaime; Felipe Court";CENTRO DE BIOLOGIA INTEGRATIVA;10.1002/cm.21319;CYTOSKELETON;Q3;WOS:000386038500007;2-s2.0-84988014480;;;;;;
2016;WOS;Article;SANTIAGO DE CHILE AS A CITY IN GLOBALIZATION. THE IMPACT OF GLOBAL POWER ON LOCAL POLICY.;Martin Gonzalez, Jorge;"[Martin Gonzalez, Jorge] Univ Chile, Escuela Gobierno & Gest Publ, Liderazgo, Santiago, Chile; [Martin Gonzalez, Jorge] Univ Mayor, Escuela Sociol, Polit & Globalizac, Santiago, Chile";"Maritza Oñate; Felipe Court";CENTRO DE BIOLOGIA INTEGRATIVA;10.4103/1673-5374.184453;NEURAL REGENERATION RESEARCH;Q3;WOS:000381119200008;2-s2.0-84977085492;;;;;;
2016;WOS;Article;Meditation and the teaching-learning process. An educational experience with deaf children;"Poblete Christie, Octavio; Vidal Mella, Ximena; Gallardo Pena, Veronica";"[Poblete Christie, Octavio] Univ Playa Ancha, Valparaiso, Region De Valpa, Chile; [Vidal Mella, Ximena] Univ Mayor, Providencia, Region Metropol, Chile; [Gallardo Pena, Veronica] Colegio San Francisco de Asis Ninos Sordos Santia, Santiago, Region Metropol, Chile";Felipe Court;CENTRO DE BIOLOGIA INTEGRATIVA;10.1016/j.brainres.2016.04.053;BRAIN RESEARCH;Q2;WOS:000385599600012;2-s2.0-84965025699;;;;;;
2016;WOS;Article;Praxeological analysis of the internal thinking of games by physical education in-training teachers;"Illanes Aguilar, Lucia Ernestina; Vergara Tapia, Maria Angelica";"[Illanes Aguilar, Lucia Ernestina] Univ Andres Bello, Santiago, Chile; [Vergara Tapia, Maria Angelica] Univ Mayor, Santiago, Chile";Felipe Court;CENTRO DE BIOLOGIA INTEGRATIVA;10.7554/eLife.12661;ELIFE;Q1;WOS:000379864200001;2-s2.0-84964502511;;;;;;
2016;WOS;Article;Histological comparision of an allograft, a xenograft and alloplastic graft as bone substitute materials;"Nappe, C. E.; Rezuc, A. B.; Montecinos, A.; Donoso, F. A.; Vergara, A. J.; Martinez, B.";"[Nappe, C. E.; Rezuc, A. B.; Montecinos, A.; Donoso, F. A.; Vergara, A. J.; Martinez, B.] Univ Mayor, Santiago, Chile";Woehlbier, Ute;CENTRO DE BIOLOGIA INTEGRATIVA;10.15252/embj.201592224;EMBO JOURNAL;Q1;WOS:000374846600008;2-s2.0-84958594182;;;;;;
2016;WOS;Article;Limited improvement of incorporating primary circulating prostate cells with the CAPRA score to predict biochemical failure-free outcome of radical prostatectomy for prostate cancer;"Murray, Nigel P.; Aedo, Socrates; Fuentealba, Cynthia; Jacob, Omar; Reyes, Eduardo; Novoa, Camilo; Orellana, Sebastian; Orellana, Nelson";"[Murray, Nigel P.] Univ Finis Terrae, Fac Med, Hosp Carabineros Chile, Dept Med, Santiago, Chile; [Aedo, Socrates] Univ Finis Terrae, Fac Med, Santiago, Chile; [Fuentealba, Cynthia; Jacob, Omar] Hosp Carabineros Chile, Dept Urol, Santiago, Chile; [Reyes, Eduardo] Univ Diego Portales, Fac Med, Hosp DIPRECA, Dept Urol, Santiago, Chile; [Novoa, Camilo] Univ Santiago, Fac Med, Santiago, Chile; [Orellana, Sebastian] Univ Mayor, Fac Med, Santiago, Chile; [Orellana, Nelson] Univ Diego Portales, Fac Med, Santiago, Chile";"Alejandra Catenaccio; Felipe Court";CENTRO DE BIOLOGIA INTEGRATIVA;10.1038/cddis.2017.489;CELL DEATH & DISEASE;Q1;WOS:000416931500003;2-s2.0-85049094943;;;;;;
2016;WOS;Review;Assessment body composition in children and teens: guidelines and recommendations;"Curilem Gatica, Cristian; Almagia Flores, Atilio; Rodriguez Rodriguez, Fernando; Yuing Farias, Tuillang; Berral de la Rosa, Francisco; Martinez Salazar, Cristian; Jorquera Aguilera, Carlos; Bahamondes Avila, Carlos; Sois Urra, Patricio; Cristi Montero, Carlos; Bruneau Chavez, Jose; Pinto Aguilante, Juan; Niedmann Brunet, Luis";"[Curilem Gatica, Cristian; Almagia Flores, Atilio; Rodriguez Rodriguez, Fernando; Yuing Farias, Tuillang; Sois Urra, Patricio; Cristi Montero, Carlos; Pinto Aguilante, Juan] Pontificia Univ Catolica Valparaiso, Avda El Bosque 1290, Valparaiso, Region De Valpa, Chile; [Berral de la Rosa, Francisco] Univ Pablo de Olavide, Seville, Spain; [Martinez Salazar, Cristian] Univ La Frontera, Temuco, Chile; [Jorquera Aguilera, Carlos; Bahamondes Avila, Carlos] Univ Mayor, Temuco, Chile; [Bruneau Chavez, Jose] Univ Autonoma Chile, Temuco, Chile; [Niedmann Brunet, Luis] Ctr Alto Rendimiento CAR, Nunoa, Region Metropol, Chile; [Curilem Gatica, Cristian; Almagia Flores, Atilio; Rodriguez Rodriguez, Fernando; Yuing Farias, Tuillang; Berral de la Rosa, Francisco; Martinez Salazar, Cristian; Jorquera Aguilera, Carlos; Bahamondes Avila, Carlos; Sois Urra, Patricio; Cristi Montero, Carlos; Bruneau Chavez, Jose; Pinto Aguilante, Juan; Niedmann Brunet, Luis] Soc Chilena Antropometria SOCHA, Valparaiso, Chile";"Melissa Nassif; Alejandra Catenaccio; Felipe Court";CENTRO DE BIOLOGIA INTEGRATIVA;10.1038/s41598-017-14399-5;SCIENTIFIC REPORTS;Q1;WOS:000413907000089;2-s2.0-85032461989;;;;;;
2016;WOS;Article;INDOOR POSTMORTEM MUTILATION BY DOGS: CONFUSION, CONTRADICTIONS, AND NEEDS FROM THE PERSPECTIVE OF THE FORENSIC VETERINARIAN MEDICINE;MÓNICA HERNÁNDEZ-CARRASCO, JULIÁN M.A.PISANI, FABIANASCARSO-GIACONI, GABRIEL M.FONSECA;[Hernandez-Carrasco, Monica] Univ Siglo 21, Tech Degree Crime Scene Invest, Dept Legal Med, Cordoba, Argentina. [Pisani, Julian M. A.] Presidency Argentine Nation, Minist Justice & Human Rights, Natl Forens Sci Programme, Cordoba, Argentina. [Scarso-Giaconi, Fabiana] Mayor Univ Vet Med, Santiago, Chile. [Fonseca, Gabriel M.] Univ La Frontera, Fac Dent, CIMA Grp, Lab Forens Dent, Francisco Salazar 01145,Bldg L, Temuco 4811230, Chile. [Fonseca, Gabriel M.] Natl Univ Cordoba, Fac Dent, Dept Oral Pathol, Cordoba, Argentina. Universidad Mayor de Chile, Universidad de La Frontera. Fonseca, GM (reprint author), Univ La Frontera, Fac Dent, CIMA Grp, Lab Forens Dent, Francisco Salazar 01145,Bldg L, Temuco 4811230, Chile. gabriel.fonseca@ufrontera.cl;Felipe Court;CENTRO DE BIOLOGIA INTEGRATIVA;10.3389/fcimb.2017.00371;FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY;Q2;WOS:000408232000001;2-s2.0-85031498331;;;;;;
